Calpurnius Eclog Giarratano	dvbia	venis
Germanicus Gain	eqvis	tende	tosti	istos	sanos	caste
Grattius Cyneg Enk	nihil	massa	cassa	scena	dicas
Horatius Saturae Klingner	pavsa	cinis	amico	vncis
Juvenal Klausen	arcet	panni	mvria	salsi	favce	addat	spica	potis	pinvs
Lucretius Martin	tonde	vitae	naves	nemea	tvnsis	cavta	penso	alias	thoas	evhie	opici	inice	neris	memmi	canae	insana
Ovidius Metam Miller	sacci	adici	aegea	missi	thovm	mevia	foves	cotta	ditem	tvere	disce	stiva	nitido	canes	iacvi	istis	incipe	edice	pices	sedis	sisti	seqvi	dices	ortas	eniti	vrnam	fiant	serit	nocte	calpe	iaces	tvens	vetti	saeva	enses	avsis	penes	tacta	chias	ramea
Persius Klausen
Statius Theb Hill	theti	nimia	inani	certi	mvsae	legem	salis	iacit	medii	tecvm	iecit	iniit	pesti	pestis	estis	nimiae	aiaci	mvsaeo	avsvs	ravcvs	dites	dicam	pavci	annis	acvti	facti	insit	petet	esses
Vergil Bukol Mynors	inani	vndis	inanis
Vergil Georg Mynors	amante	amant	decem	aheno	actae	actaea	sepia	adice
